"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","attention_probs_dropout_prob","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","batch_size","bf16","bf16_full_eval","chunk_size_feed_forward","classifier_dropout","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","dropout","early_stopping","embedding_size","encoder_no_repeat_ngram_size","epochs","eval_delay","eval_do_concat_batches","eval_on_start","eval_steps","eval_strategy","eval_use_gather_object","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","group_by_length","half_precision_backend","hidden_act","hidden_dropout_prob","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","id2label.2","id2label.3","id2label.4","ignore_data_skip","include_for_metrics","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","initializer_range","intermediate_size","is_decoder","is_encoder_decoder","jit_mode_eval","label2id.Extremely Negative","label2id.Extremely Positive","label2id.Negative","label2id.Neutral","label2id.Positive","label_smoothing_factor","layer_norm_eps","learning_rate","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_length","max_position_embeddings","max_steps","metric_for_best_model","min_length","model/num_parameters","model_name","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_attention_heads","num_beam_groups","num_beams","num_hidden_layers","num_return_sequences","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","output_scores","overwrite_output_dir","pad_token_id","past_index","patience","per_device_eval_batch_size","per_device_train_batch_size","position_embedding_type","prediction_loss_only","problem_type","push_to_hub","push_to_hub_token","ray_scope","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","restore_callback_states_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","save_total_limit","seed","skip_memory_metrics","summary_activation","summary_last_dropout","summary_type","summary_use_proj","temperature","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","top_k","top_p","torch_compile","torch_dtype","torchscript","tpu_metrics_debug","transformers_version","type_vocab_size","typical_p","use_bfloat16","use_cache","use_cpu","use_ipex","use_legacy_prediction_loop","use_liger_kernel","use_mps_device","vocab_size","warmup_ratio","warmup_steps","weight_decay","eval/accuracy","eval/f1_macro","eval/loss","eval/precision_weighted","eval/recall_weighted","eval/runtime","eval/samples_per_second","eval/steps_per_second","final_eval/accuracy","final_eval/f1_macro","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"trial-9","finished","-","","","2025-08-19T10:52:21.000Z","228","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.12707044336281317","false","false","false","32","false","false","0","0.12707044336281317","false","0","false","true","1800","[]","false","0","true","false","false","false","0.12707044336281317","false","768","0","7","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.12707044336281317","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00005608108308920268","length","1","true","0","passive","warning","true","./hf_roberta_optuna/9/runs/Aug19_10-52-30_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","7","adamw_torch","false","./hf_roberta_optuna/9","false","false","false","0","-1","2","32","32","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-9","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.1","0","0.02","0.7146772987789684","0.7239026062450493","0.8359555602073669","0.7168240627524997","0.7146772987789684","4.4099","1819.993","56.917","0.7146772987789684","0.7239026062450493","5679668223227904","2.6892430278884465","2700","6.5275797843933105","0.000038401133732701474","0.6427","0.9023018759268302","212.8564","1055.641","33.018"
"trial-8","finished","-","","","2025-08-19T10:44:29.000Z","472","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.10780530118618264","false","false","false","32","false","false","0","0.10780530118618264","false","0","false","true","1800","[]","false","0","true","false","false","false","0.10780530118618264","false","768","0","8","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.10780530118618264","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00002094441925068843","length","1","true","0","passive","warning","true","./hf_roberta_optuna/8/runs/Aug19_10-44-39_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","8","adamw_torch","false","./hf_roberta_optuna/8","false","false","false","0","-1","4","32","32","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-8","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.05","0","0.01","0.7243957139297283","0.7334454347482223","0.8117235898971558","0.7249564719592538","0.7243957139297283","4.9539","1620.146","50.667","0.7243957139297283","0.7334454347482223","16089016616317440","5.079681274900398","5100","10.44078254699707","0.000008062091656523188","0.4788","0.7531423628563975","454.8468","564.586","17.659"
"trial-7","finished","-","","","2025-08-19T10:40:05.000Z","264","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.1590205327069319","false","false","false","16","false","false","0","0.1590205327069319","false","0","false","true","1800","[]","false","0","true","false","false","false","0.1590205327069319","false","768","0","10","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.1590205327069319","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.000024771545376085093","length","1","true","0","passive","warning","true","./hf_roberta_optuna/7/runs/Aug19_10-40-14_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","10","adamw_torch","false","./hf_roberta_optuna/7","false","false","false","0","-1","2","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-7","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.1","0","0.01","0.6539995016197359","0.6646977393532223","0.9246851801872252","0.6538289812922279","0.6539995016197359","8.2537","972.412","60.821","0.6539995016197359","0.6646977393532223","2840886584183808","1.3452914798206277","2700","10.160075187683104","0.000023826652791014913","0.8645","1.1618601650661893","244.8122","1311.209","81.981"
"trial-6","finished","-","","","2025-08-19T10:31:51.000Z","494","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.12237615463115156","false","false","false","32","false","false","0","0.12237615463115156","false","0","false","true","1800","[]","false","0","true","false","false","false","0.12237615463115156","false","768","0","10","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.12237615463115156","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00005463811186094771","length","1","true","0","passive","warning","true","./hf_roberta_optuna/6/runs/Aug19_10-32-02_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","10","adamw_torch","false","./hf_roberta_optuna/6","false","false","false","0","-1","4","32","32","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-6","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.05","0","0.02","0.7253924744580115","0.733104882461095","0.7616700530052185","0.7319034899220471","0.7253924744580115","6.562","1223.106","38.251","0.7253924744580115","0.733104882461095","17666804557602816","4.183266932270916","4200","11.426870346069336","0.00003347715723583335","0.429","0.7678482064746674","474.3816","676.67","21.164"
"trial-5","finished","-","","","2025-08-19T10:23:30.000Z","500","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.1070831893085958","false","false","false","16","false","false","0","0.1070831893085958","false","0","false","true","1800","[]","false","0","true","false","false","false","0.1070831893085958","false","768","0","7","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.1070831893085958","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00006285995610803158","length","1","true","0","passive","warning","true","./hf_roberta_optuna/5/runs/Aug19_10-23-40_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","7","adamw_torch","false","./hf_roberta_optuna/5","false","false","false","0","-1","4","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-5","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.1","0","0.01","0.7149264889110392","0.7240416393612725","0.8015795350074768","0.7177725427939549","0.7149264889110392","8.7574","916.487","57.323","0.7149264889110392","0.7240416393612725","8049047096116224","2.5411061285500747","5100","7.842429161071777","0.000044520002131241913","0.7216","0.9084240692737056","479.6026","468.513","29.293"
"trial-4","finished","-","","","2025-08-19T10:17:32.000Z","357","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.1493322911410183","false","false","false","16","false","false","0","0.1493322911410183","false","0","false","true","1800","[]","false","0","true","false","false","false","0.1493322911410183","false","768","0","10","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.1493322911410183","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.000027526138138149472","length","1","true","0","passive","warning","true","./hf_roberta_optuna/4/runs/Aug19_10-17-43_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","10","adamw_torch","false","./hf_roberta_optuna/4","false","false","false","0","-1","2","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-4","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.1","0","0","0.6898828806379267","0.6985662188665377","0.8596525192260742","0.6945073595911972","0.6898828806379267","8.8145","910.541","56.951","0.6898828806379267","0.6985662188665377","5682167845581312","1.7937219730941705","3600","7.771678447723389","0.000025106190877817224","0.8139","1.0614101431104872","336.397","954.23","59.662"
"trial-3","finished","-","","","2025-08-19T10:10:19.000Z","433","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.10179474276819536","false","false","false","16","false","false","0","0.10179474276819536","false","0","false","true","1800","[]","false","0","true","false","false","false","0.10179474276819536","false","768","0","9","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.10179474276819536","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00003022650365532837","length","1","true","0","passive","warning","true","./hf_roberta_optuna/3/runs/Aug19_10-10-31_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","9","adamw_torch","false","./hf_roberta_optuna/3","false","false","false","0","-1","2","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-3","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.05","0","0.01","0.7221530027410914","0.731068601326463","0.7900254130363464","0.7238782769618777","0.7221530027410914","8.5695","936.579","58.58","0.7221530027410914","0.731068601326463","9469095710994432","2.242152466367713","4500","11.558290481567385","0.000023899001986819745","0.6538","0.9013782416449652","411.3455","702.329","43.912"
"trial-2","finished","-","","","2025-08-19T10:01:14.000Z","545","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.11845722292258476","false","false","false","16","false","false","0","0.11845722292258476","false","0","false","true","1800","[]","false","0","true","false","false","false","0.11845722292258476","false","768","0","9","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.11845722292258476","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00004086926767044344","length","1","true","0","passive","warning","true","./hf_roberta_optuna/2/runs/Aug19_10-01-25_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","9","adamw_torch","false","./hf_roberta_optuna/2","false","false","false","0","-1","4","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-2","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.05","0","0.02","0.7169200099676053","0.7259910702079073","0.8226404786109924","0.7242339520288701","0.7169200099676053","8.6025","932.985","58.355","0.7169200099676053","0.7259910702079073","11995029878648832","2.8400597907324365","5700","11.411803245544434","0.00002945807462836089","0.6745","0.8721533932602197","523.442","551.924","34.508"
"trial-1","finished","-","","","2025-08-19T09:55:56.000Z","317","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.13655515069459587","false","false","false","16","false","false","0","0.13655515069459587","false","0","false","true","1800","[]","false","0","true","false","false","false","0.13655515069459587","false","768","0","7","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.13655515069459587","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.00004909180126087361","length","1","true","0","passive","warning","true","./hf_roberta_optuna/1/runs/Aug19_09-56-04_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","7","adamw_torch","false","./hf_roberta_optuna/1","false","false","false","0","-1","2","16","16","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-1","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.05","0","0.02","0.6729379516571143","0.6844342929123777","0.880082905292511","0.6785714745961439","0.6729379516571143","8.2153","976.953","61.105","0.6729379516571143","0.6844342929123777","3472370126097408","1.6442451420029895","3300","10.201122283935549","0.00003955373437420755","0.7746","0.975758373376095","299.0216","751.451","46.983"
"trial-0","finished","-","","","2025-08-19T09:51:33.000Z","262","","google/electra-base-discriminator","true","false","false","true","false","0.9","0.999","1e-8","false","[""ElectraForPreTraining""]","0.15282649961284617","false","false","false","32","false","false","0","0.15282649961284617","false","0","false","true","1800","[]","false","0","true","false","false","false","0.15282649961284617","false","768","0","7","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","0.15282649961284617","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","1e-12","0.000032568131339638706","length","1","true","0","passive","warning","true","./hf_roberta_optuna/0/runs/Aug19_09-51-46_9e06089dd809","false","true","100","steps","linear","1","20","512","-1","accuracy","0","109488389","google/electra-base-discriminator","electra","","false","0","12","1","1","12","1","7","adamw_torch","false","./hf_roberta_optuna/0","false","false","false","0","-1","3","32","32","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-0","false","false","true","300","steps","1","42","true","gelu","0.1","first","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","2","1","false","true","false","false","false","false","false","30525","0.1","0","0.01","0.6984799401943683","0.7081632972032761","0.8354160189628601","0.7051541135648461","0.6984799401943683","5.056","1587.432","49.644","0.6984799401943683","0.7081632972032761","8519502334841856","2.6892430278884465","2700","5.514832019805908","0.000022300802661181857","0.6885","0.9368549488208912","241.9345","928.764","29.049"
